vx,vy,vz,xpos0,ypos0,photons0,xpos1,ypos1,photons1
0.966323,0,-0.932014,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.3845,0,8.71345,-25,0,5,25,0,3
-8.1039,0,1.82952,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.00603,0,-2.93703,-99.9,-99.9,-1,25,0,1
15.4882,0,-2.33979,-99.9,-99.9,-1,-99.9,-99.9,-1
6.8824,0,-8.95335,-99.9,-99.9,-1,25,0,2
-0.881753,0,-9.95624,-25,0,42,25,0,47
17.7897,0,3.84391,-99.9,-99.9,-1,-99.9,-99.9,-1
7.45956,0,5.16172,-25,0,51,25,0,92
5.25875,0,1.80776,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.9075,0,-3.62823,-25,0,1,25,0,2
13.4901,0,9.12718,-99.9,-99.9,-1,-99.9,-99.9,-1
16.7241,0,-8.51947,-25,0,1,25,0,1
7.89707,0,7.54484,-25,0,1,-99.9,-99.9,-1
-0.371906,0,-6.52628,-99.9,-99.9,-1,25,0,5
-21.3304,0,-2.56477,-25,0,2572,25,0,1242
0.79581,0,5.40403,-99.9,-99.9,-1,-99.9,-99.9,-1
4.01526,0,0.0389588,-25,0,436,25,0,530
-13.7176,0,1.4281,-25,0,13,25,0,4
-18.2903,0,-1.89251,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.7897,0,-6.30081,-25,0,581,25,0,142
-13.2186,0,6.60731,-25,0,60,25,0,40
-5.358,0,5.95639,-25,0,711,25,0,625
-4.61792,0,4.22418,-25,0,37,25,0,44
-7.79146,0,0.833936,-25,0,250,25,0,175
-2.07821,0,8.68724,-25,0,78,25,0,72
20.9172,0,-7.13507,-25,0,13,25,0,60
-1.17985,0,-6.6355,-25,0,568,25,0,561
-15.2296,0,-1.95762,-25,0,28,25,0,10
3.70141,0,-7.39145,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.19728,0,-6.9083,-25,0,12,25,0,9
-4.57682,0,-3.63753,-25,0,52,25,0,39
-10.5887,0,8.27993,-25,0,36,25,0,28
-18.9635,0,-5.25308,-25,0,235,25,0,96
-17.8743,0,0.714529,-25,0,165,25,0,55
-17.8721,0,2.98124,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.97196,0,-2.73219,-25,0,1,-99.9,-99.9,-1
-3.63404,0,-8.47682,-25,0,266,25,0,218
